Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Jennifer Dragon,Jennifer Murphy (born Jennifer Wilson),Jennifer Dragon,,Secret,Good,The Liberty League,"Dragon (ex-husband), Angelica Dragon (Savage World) (daughter), Jennifer Murphy (Image Universe) (herself from another reality)",Female,"5' 9""",145  lbs (66 kg),Blue,Blonde,Married,,Erik Larsen,Savage Dragon Vol 1 100,
Allegra,Jennifer L. Gold,Allegra,,Secret,Good,formerly U.S. Air Force,,Female,"5' 10""",128  lbs (58 kg),Gray,Silver,Single,,"Scott Clark,  Steven T. Seagle","Allegra  #1(August, 1996)",1996
Jenny Sparks,Jenny Sparks,,The Spirit of the 20th Century,Public,Good,The AuthorityStormwatch British Space Program,,Female,,,Blue,Blond,Single,,"Warren Ellis,  Tom Raney",Stormwatch  #37,
Maul,Jeremy Stone,Maul,,Secret,Good,WildC.A.T.S.,,Male,"6' 4"" , Variable (as Maul)","200  lbs (91 kg) , Variable (as Maul)",Green,Blond,Single,Titanothrope-Human hybrid,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Freestyle,Jocelyn Davis,Freestyle,,,Good,International OperationsDV8,,Female,,,,,Single,,"Mike Heisler,  Juvann Kirby",Gen¹³ Vol 2 #7 (1996) (cameo)DV8 #11 (1997) (full appearance),1996
Backlash,Jodi Slayton,Backlash,Crimson; Jet,,Good,WildcoreWildC.A.T.s,Marc Slayton (father)Aries (brother),Female,,,,Black,,,"Sean Ruffner,  Brett Booth","Backlash  #9(June, 1995)",1995
John Leekley,John Leekley,,,,Bad,The Freak,,Male,,,Brown,Brown,Single,,"Todd McFarlane,  Greg Capullo","Spawn  #67(November, 1997)",1997
SuperPatriot,John Quincy Armstrong,SuperPatriot,,Secret,Good,Liberty LeagueThe AlliesFreak Force,"Justice Farrell (son);Liberty Farrell (daughter)'Damien (a.k.a. Darklord, grandson);Claire Bono (actual wife)",Male,"6' 4""",213  lbs (97 kg),black,white,Married,,Erik Larsen,"Savage Dragon (Mini-series)  #1  (July, 1992)",1992
Battlestone,John Annex Stone,Battlestone,,Public,Good,Brigade;Youngblood (formerly);Allies,"Michael Stone (father), Cabbot Stone (brother), Marc Barros (nephew), Alexander Barros (nephew, deceased), Kaitlin McManus (half-sister, deceased)",Male,"6' 4""",265  lbs (120 kg),Blue,White,Single,"Nu-Gene, further mutated by Project: Born Again",Rob Liefeld,"Brigade  #1(August, 1992)",1992
John Colby,Jonathan Colby,John Colby,,Secret,Good,"U.S. Food and Drug Administration, USDA (formerly)",Michael Applebee (husband),Male,,,Brown,Blond,Married,,"John Layman,  Rob Guillory","Chew  #1(June, 2009)",2009
Prophet,Johnathan Taylor Prophet,Prophet,"Joan of Arc, ""the Man of Marble"", Snow Walker",,Good,formerly Operation: Knightstrike,,Male,"6' 2""",210  lbs (95 kg),,Black,,,Rob Liefeld,"Youngblood  #2(June, 1992)",1992
Pandemic,Jonathan Able Unger,Pandemic,,Secret,Bad,,,Male,,,Blue,Red,Single,,"Alan McElroy,  Clayton Crain","Curse of the Spawn  #24(September, 1998)",1998
Kaizen Gamorra,Unknown,Kaizen Gamorra,,,Bad,,,Male,,,,Grey,,,"Brandon Choi,  Jim Lee,  Scott Clark,  Trevor Scott","StormWatch  #6(December, 1993)",1993
Kaizen Gamorra,Kaizen Gamorra,,,Public,Bad,,"Sum (brother), Wai (brother)",Male,,,,White,,,"Warren Ellis,  Tom Raney,  Randy Elliott","StormWatch  #40(October, 1996)",1996
Sunburst,Karl Hansen,Sunburst,,Secret,,formerly StormWatch,Maya Royko (wife),Male,"6' 2""",193  lbs (88 kg),Blue,Blond,Married,,"Jim Lee,  Brandon Choi",Image Zero  #0(1993),1993
Medieval Witchblade,Katarina Godliffe,Medieval Witchblade,,Secret,Good,,,Female,,,Green,Red,Single,,"Garth Ennis,  Brandon Peterson","Medieval Spawn/Witchblade  #1(May, 1996)",1996
Dupli-Kate,Kate Cha,Dupli-Kate,Kate,Secret,Good,"Teen Team (formerly), Guardians of the Globe (formerly)",Tsing Cha (father)  Unnamed mother (deceased)  Paul Cha (younger twin brother) The Immortal (husband) Mary and Abraham (twin children),Female,"5' 6""",115  lbs (52 kg),Brown,Black,Married,,"Robert Kirkman,  Cory Walker","Invincible  #2(February, 2003)",2003
Kate Rooney,Kate Rooney,,,,Good,,,Female,,,,Blonde,,,"Ron Marz,  Matthew Dow Smith",Witchblade  #142,
Kate,Katharine Hepburn,Kate,,No Dual,Good,Spencer Tracy,,Female,,,,Brown,Single,Human,"Mark Millar,  Wilfredo Torres","Jupiter's Circle  #1(April, 2015)",2015
Stasis,Katherine Pearson,Stasis,Kathy,,Good,Brigade,,Female,"5' 6""",110  lbs (50 kg),,Blonde,Single,Human mutate via alien experimentation,,"Brigade  #1(August, 1992)",1992
Cybernary,Katrina Cupertino,Cybernary,Yumiko Gamorra,,Good,Savant Garde,,Female,"5' 6""",185  lbs (84 kg),Brown,Brown,Single,Cyborg,"Brandon Choi,  Jim Lee","Deathblow  #1(May, 1993)",1993
Savant,Kenesha,Savant,Cordelia Matheson,Secret,Good,WildC.A.T.S.; formerly Savant Garde,"Zannah (mother), Majestros (father), Nikolas Kamarov (half-brother), Majestrate (half-brother, deceased), Harmony (grandmother, deceased)",Female,"5' 5""",102  lbs (46 kg),Blue,Blonde,Single,Kherubim,"Jim Lee,  Chris Claremont","WildC.A.T.s: Covert Action Teams  #11(June, 1994)",1994
Fourplay,Kennedy Marx,Fourplay,,Secret,Good,Bloodstrike,,Female,,,Silver,Black,Single,Nu-Gene activated by Project: Born Again,,"Bloodstrike  #26(March, 2012)",2012
Kenneth Irons,Kenneth Irons,,,Public,Bad,,,Male,,,,Grey,,,"Marc Silvestri,  Michael Turner,  David Wohl,  Brian Haberlin","Switch  #1(October, 2015)",2015
Kenneth Irons,Kenneth Irons,,,Secret,Bad,,"Danette Boucher (ex-wife, deceased)  Gerard Irons(son)",,,,Blue,White,Divorced,Human,"Marc Silvestri,  Michael Turner,  David Wohl,  Brian Haberlin","Witchblade  #1(November, 1995)",1995
Kevin Pilcher,Kevin Pilcher,,,,Good,,,Male,,,,,,,"Ron Marz,  Laura Braga","Witchblade  #170(October, 2013)",2013
Combat,Kh'ambt (clone),Combat,,Public,Good,formerly Youngblood,Kh'ambt (genetic template),Male,"7' 0""",950  lbs (432 kg),Green,White,Single,Clone of Combat,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Slice,Kikuyo Fujikawa,Slice,Slingshot,Secret,Good,Weapon Zero,,Female,"5' 6""",125  lbs (57 kg),Brown,Brown,Single,Bonded with T'srri armor,"Joe Benitez,  Marc Silvestri","Weapon Zero  #T-3(August, 1995)",1995
Savage Dragon,Kurr,Savage Dragon,"Dragon, Savage Dragon, Emperor Kurr, Emperor Dragon, Officer Dragon",Public,,Liberty LeagueChicago Police DepartmentSpecial Operations Strikeforce (S.O.S.),Jennifer Dragon (wife)Malcolm Dragon (son)Angel Dragon (step-daughter)Krull (son),Male,"6' 3""",222  lbs (101 kg),Black,No Hair,Divorced,Krylan,Erik Larsen,"Savage Dragon (Mini-series)  #1  (July, 1992)",1992
Kyle Barnes,Kyle Barnes,,,,Good,,"Sarah Barnes (mother),Allison Barnes (wife),Amber Barnes (daughter)",Male,,,,Black,Married,,"Robert Kirkman,  Paul Azaceta","Outcast  #1(June, 2014)",2014
Tempest,Lane Quintana,Tempest,,Secret,Good,Stryke Force,,Female,"5' 7""",115  lbs (52 kg),Blue,Black,Single,Mutant,Marc Silvestri,"Cyberforce  #4(July, 1993)",1993
Lara Croft,Lara Croft,,,,,,,Female,,,Green,Brown,Single,,,Unknown,
Riptide,Leanna Creel,Riptide,,Public,Good,Youngblood,"Miranda Creel (mother, deceased);Sam Smith (father)",Female,"5' 6""",120  lbs (55 kg),Blue,White,Single,Magically endowed with hydrokinesis,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Frostbite,Leon Carver,Frostbite,,,,International OperationsDV8,,Male,"6' 11""",245  lbs (111 kg),,Bald,Single,,"Jim Lee,  Brandon Choi,  J. Scott Campbell",Gen¹³ Vol 2 6 (1995),1995
Aquarus II,Unknown,Aquarus II,Aquarus II,,Good,Atlantis,Aquaria (Wife),Male,,,,,,,"Robert Kirkman,  Ryan Ottley","Invincible  #15(July, 2004)",2004
Lily,Lillian Redgrave,Lily,,,,,,Female,,,Blue,Brown,,,"Brian Holguin,  Angel Medina","Spawn  #134(April, 2004)",2004
Seoul,Lily Lee,Seoul,,,Good,Bloodpool,,Female,,,Brown,Brown,Single,,Rob Liefeld,"Bloodpool  #1(August, 1995)",1995
Link,Lincoln Adams,Link,Link,Public,,StormWatch,,Male,,,Brown,Salt & Pepper,Single,Earth,"Jim Lee,  Brandon Choi","StormWatch  #13(September, 1994)",1994
Link,Unknown,Link,,Secret,Good,Order of the Knight; formerly Youngblood,,Male,"5' 10""",180  lbs (82 kg),Brown,Black,,,Rob Liefeld,"Youngblood  #0(December, 1992)",1992
Jade,Lisa Wu,Jade,,,Good,Washington Post,,Female,,,Brown,Black,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 2 5,
Helspont,Lord Helspont,Helspont,"Wyvern, Desmond",Public,,The CabalDaemonites,,Male,,,Blue,No Hair,,Daemonite possessing an Acurian body,"Brandon Choi,  Jim Lee",WildC.A.T.s #1 (August 1992),1992
Lori Grimes,Lori Grimes,,,Public,Good,Grimes Family; Atlanta Survivors,"Rick (husband); Carl (son); Judith (baby daughter, deceased)",Female,,,,Black,Married,,"Robert Kirkman,  Tony Moore","The Walking Dead  #2(November, 2003)",2003
Mako,Lou Drumm,Mako,,,Bad,Vicious Circle,,Male,"5' 9""",475  lbs (216 kg),Black,Bald,,,Erik Larsen,"Savage Dragon  #1(June, 1993)",1993
Chief Banks,Louis Banks,Chief Banks,,,Bad,New York City Police Department,,Male,,,Brown,Brown,Married,,Todd McFarlane,"Spawn  #29(March, 1995)",1995
Midnighter,Lucas Trent,Midnighter,"""Night Bringer of War"", The world's deadliest killing machine",Secret,,The Authority; Stormwatch; Kev Hawkins,Apollo (husband); Jenny Quantum (adoptive daughter),Male,,,,Red,Married,Transformed by the first Weatherman into a Human with Artificial Enhancements,"Warren Ellis,  Bryan Hitch","StormWatch Vol 2  #4(February, 1998)",1998
ShadowHawk,Luke Hatfield Sr,ShadowHawk,Silver Age ShadowHawk; Earl Hatfield,,Good,,"Lady ShadowHawkette (wife)
Luke Hatfield Jr. (son)",Male,,,,,,,Jim Valentino,"ShadowHawk Special  #1  (December, 1994)",1994
Misery,Lydia O'Rourke,Misery,Misery,Secret,Bad,Cyberdata; formerly S.H.O.C.s,"William O'Rourke (father, deceased)",Female,"5' 10""",130  lbs (59 kg),Green,Red,Single,Mutant Cyborg,Marc Silvestri,"Cyberforce  #0(September, 1993)",1993
Unrevealed,Unrevealed,,,No Dual,Bad,,,,,,,,Single,,Skottie Young,I Hate Fairyland  #9(2016),2016
Dingo,Madinga,Dingo,,,Good,,,Male,1.67 mt.,193 lbs (87.7  kg),,,Single,,"Sean Ruffner,  Jeff Mariotte,  Brett Booth,  Dan Norton,  Edwin Rosell","Backlash  #7(April, 1995)",1995
Mr. Majestic,Majestros,Mr. Majestic,"Lord Majestros, Jim McArest",Secret,Good,WildC.A.T.S.; formerly Team One,"Kenesha (daughter), Majestrate (son, deceased)",Male,"6' 2""",205  lbs (93 kg),Blue,Black,Single,Enhanced Kherubim,"Jim Lee,  H.K. Proger","WildC.A.T.s: Covert Action Teams  #11(June, 1994)",1994
Malebolgia,Unknown,Malebolgia,,Secret,Bad,Hell,,Male,,,Green,White,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 4,
Seahawk,Marc Barros,Seahawk,Marc Stone Jr,Public,Good,Brigade,"Bernard Barros (father, deceased), Alex Barros (Brother), John Stone (uncle), Cabbot Stone (uncle)",Male,"6' 3""",188  lbs (85 kg),Brown,Brown,Single,Genetic enhancements inherited from parents and unlocked through magic,,"Brigade  #1(August, 1992)",1992
Black Samson,Markus Grimshaw,Black Samson,,,Good,Guardians of the Globe,,Male,"6' 2""",260  lbs (118 kg),Brown,Black,,Humans,"Robert Kirkman,  Cory Walker","Invincible  #6(October, 2003)",2003
Invincible,Markus Murphy,Invincible,"Marky, Mark, Kid Invincible",Secret,Good,,Anissa (mother)  Mark Grayson (father)  Scott Murphy (adoptive father)  Molly Murphy (sister)  Terra Grayson (half sister),Male,,,Blue,Black,,"3/4 Viltrumite Hybrid, 1/4 Human","Robert Kirkman,  Cory Walker","Invincible  #129(June, 2016)",2016
Comet Twins,Marshall Winslow,Comet Twins,,Secret,Good,"Capes, Inc",,Male,,,,,,,"Robert Kirkman,  Mark Englert","Capes  #1(September, 2003)",2003
Em Cypress,Martha Ann Cypress,Em Cypress,,Public,Good,,"Wayne Cypress (father),Dana Cypress (sister),Cooper Cypress (nephew)",Female,,,Green,Brown,Single,,"Tim Seeley,  Mike Norton","Revival  #1(July, 2012)",2012
Mason,Mason,,,,,,"Becky (wife), Kaitlyn (daughter)",Male,,,Blue,Brown,Married,,"Ed Brisson,  Adam Gorham","The Violent  #1(December, 2015)",2015
Materhead,Eugene Maples,Materhead,,,Bad,,,Male,,,,Bald,,,"Jason Aaron,  Jason Latour","Southern Bastards  #1(April, 2014)",2014
Threshold,Matthew Callahan,Threshold,Tom Hallinan,Secret,Bad,"formerly International Operations, DV8","Rachel Callahan (mother, deceased), Stephen Callahan (father), Sarah Rainmaker (half-sister), Nicole Callahan, (sister)",Male,"6' 2""",165  lbs (75 kg),Blue,Blond,Single,Born Gen-Active due to his father's altered genetics,"Jim Lee,  Brandon Choi,  J. Scott Campbell","Gen¹³  #1(February, 1994)",1994
Condition Red,Max Cash,Condition Red,"Grifter Jr., Max Profit",Secret,Good,WildC.A.T.s; formerly International Operations,"Sylvia Del Gracci (mother, deceased), Win Cash (father), Sam Del Gracci (stepfather), Cole Cash (brother), Tazy Del Gracci (stepsister), Peter Del Gracci (stepbrother, deceased), Frank Cash (great-grandfather, deceased)",Male,"6' 0""",175  lbs (80 kg),Blue,Blond,Single,,"Jim Lee,  Brandon Choi","Savage Dragon  #13 A(October, 1994)",1994
Max Cash,Max Cash,,,Public,Good,Black Razors,Grifter (brother),Male,,,,Blond,,,,WildC.A.T.s Season 1 9,
Ladytron,Maxine Manchester,Ladytron,,,,WildcatsChurch of Gort,"Stanley (husband, destroyed)",Female,,,,Black,Widowed,,"Alan Moore,  Travis Charest","WildC.A.T.s #21 (July, 1995)",1995
Nautika,Maya Royko,Nautika,,Secret,Good,formerly StormWatch,Karl Hansen (husband),Female,"5' 6""",115  lbs (52 kg),Green,Black,Married,,"Brandon Choi,  Jim Lee","StormWatch  #0(August, 1993)",1993
Merrily Wainright,Merrily Wainright,,"""Princess"" (pet name)",Public,Good,,Hurlbert Wainright (father)(Mother unnamed)H. Percival Wainright III (brother),Female,,,Blue,Red,Single,,Marc Silvestri,"Codename: Stryke Force  #4(June, 1994)",1994
Deathblow,Michael Patrick Cray,Deathblow,,Public,Good,"Team 7; formerly U.S. Navy, SEAL Team 6, International Operations","Gabrielle D'Angelo (ex-wife, deceased);Elizabeth Cray (mother, deceased);James Cray (father, deceased);Alexander Cray (brother);Rachel Goldman (daughter)",Male,"6' 4""",240  lbs (109 kg),Brown,Blond,Widower,Exposed to the Gen Factor,"Jim Lee,  Brandon Choi","Darker Image  #1(March, 1993)",1993
Hacker,Michael Talbot,Hacker,,Secret,,Brigade,"Helen Talbot (ex-wife), Julie Talbot (daughter)",Male,"5' 8""",225  lbs (102 kg),,Grey,Divorced,,"Rob Liefeld,  Marat Mychaels","Brigade Vol 2  #1(May, 1993)",1993
Knightsabre,Mikey Graves,Knightsabre,"Mick Randall , Mikey Tombs",Public,Good,"Youngblood, Order of the Knights",Alexander Graves (father),Male,"6' 1""",198  lbs (90 kg),Brown,Red,Single,Human/Demon Hybrid,Rob Liefeld,"Team Youngblood  #9(May, 1994)",1994
Cast Iron,Milos Stojakovic,Cast Iron,,,Good,Guardians of the Globe,,Male,,,White,Bald,,,"Robert Kirkman,  Benito Cereno,  Ransom Getty","Guarding the Globe  #4(March, 2011)",2011
Cannon,Mitchell Saunders,Cannon,,Secret,Good,StormWatch,,Male,"6' 3""",190  lbs (86 kg),Blue,Blond,Single,,"Brandon Choi,  Jim Lee","StormWatch  #2(May, 1993)",1993
Psilence,Monica Caine,Psilence,,Public,Good,YoungbloodBloodpool,,Female,"5' 10""",130  lbs (59 kg),Green,Brown,Single,Nu-Gene Mutant,Rob Liefeld,"Youngblood  #8(September, 1994)",1994
Stryker,Morgan Striker,Stryker,,Public,Good,"Cyberforce; formerly U.S. Army, Cyberdata, S.H.O.C.s, Stryke Force",,Male,"6' 4""",475  lbs (216 kg),Green,Blond,Single,Cyborg Mutant,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
Redbird,Nataly Lakota Redbird,Redbird,,Public,Good,"Black Ops; formerly FBI, IO, Black Razors",,Female,"5' 9""",130  lbs (59 kg),Brown,Brown,Single,,"Shon Bury,  Dan Norton","Black Ops  #1(January, 1996)",1996
OvertKill,Nicholas Rocca,OvertKill,OvertWar,Secret,Bad,Mafia; Tony Twist; Jason Wynn,"Eylan Hessman (half-brother, deceased),Christina Rocca (mother)",Male,"7' 6""",576  lbs (262 kg),Brown,Bald,Single,"Cybernetically enhanced by brother, Eylan Hessman","Todd McFarlane,  Rob Liefeld","Spawn  #6(November, 1992)",1992
Hellstrike,Nigel Keane,Hellstrike,,Secret,Good,StormWatch; formerly Scotland Yard,,Male,"6' 0""",170  lbs (77 kg),Green,Green,Single,Comet Seedling,"Jim Lee,  Brandon Choi","StormWatch  #1(March, 1993)",1993
Vogue,Nikola Voganova,Vogue,,Public,,Youngblood,"Natalya Voganova (mother), Andrei Voganov (father, deceased), Dimitri Voganov (brother), Diehard (husband)",Female,"5' 9""",140  lbs (64 kg),Blue,Purple,Married,Nu-Gene Mutant[1],Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Winter,Nikolas Andreyvitch Kamarov,Winter,,Public,Good,StormWatch; formerly Spetsnaz,"Zannah (mother), Yohn Kohl (father), Kenesha (half-sister), Harmony (grandmother, deceased)",Male,"5' 11""",165  lbs (75 kg),Brown,White,Single,,"Brandon Choi,  Jim Lee","StormWatch  #1(March, 1993)",1993
Norse Hellspawn,Nordik,Norse Hellspawn,,Public,Bad,Malebolgia,,Male,,,,Brown,,,"Beau Smith,  Brad Gorby","Spawn Fan Edition  #1(August, 1996)",1996
Head Lopper,Norgal,Head Lopper,,Public,Good,,,Male,,,,Grey,,,Andrew MacLean,"Head Lopper  #1(September, 2015)",2015
Union,Ohmen,Union,,,,The MonarchyStormWatch,,Male,"6' 1""",205  lbs (93 kg),,White,,Alien,"Mike Heisler,  Jim Lee",Union #1 (1993),1993
Dimensionauts,Anarchists League of Scientists,Dimensionauts,,Public,Good,Anarchists League of Scientists,,,,,,,,,"Rick Remender,  Matteo Scalera",Black Science Vol 1 1,
Patrick Immelmann,P.I.,Patrick Immelmann,,Secret,Good,Paparazzi,"Gramps (grandfather),Patricia Immelmann (mother, deceased)",Male,,,Blue,Brown,Single,,"Brian K Vaughan,  Marcos Martin","The Private Eye  #1(December, 2015)",2015
Magdalena,Patience,Magdalena,Kristofferson,Secret,Good,Catholic Church,,Female,"5' 10""",140 lbs (64 kg),Brown,Brown,,,"Brian Holguin,  Eric Basaldua",Witchblade  #62,
Multi-Paul,Paul Cha,Multi-Paul,,,Bad,The Order,Tsing Cha (father)Kate Cha (older twin sister)Mary and Abraham (twin nephews),Male,,,Brown,Black,Single,,"Robert Kirkman,  Ryan Ottley","Invincible  #25(August, 2005)",2005
Shadowhawk,Paul Johnstone,Shadowhawk,,,,Brigade,,Male,,,,,,,Jim Valentino,"Youngblood  #2(June, 1992)",1992
Penny Rolle,Penelope Leona Rolle,Penny Rolle,,,,Auxiliary Compliance Outpost,Unnamed (mother)Bertha Alexander (grandmother)Chester Alexander (grandfather),Female,,,Brown,Black,Single,,Kelly Sue DeConnick,"Bitch Planet  #1(December, 2014)",2014
Grunge,Percival Edmund Chang,Grunge,Gehrunju,Secret,Good,Gen¹³,"Philip Chang (father), Absolom (brother)",Male,"5' 3""",250  lbs (114 kg),Brown,Brown,Single,Born Gen-Active due to his father's altered genetics,"Jim Lee,  Brandon Choi,  J. Scott Campbell","Deathmate  #Black(September, 1993)",1993
Vogue,Petra Gomez,Vogue,Gunner,,Good,Youngblood,,Female,,,Green,Brown,Single,,"Chad Bowers,  Jim Towe","Youngblood Vol 5  #1(May, 2017)",2017
The Curse,Phillip Krahn,The Curse,,Secret,Bad,,,Male,,,Brown,Brown,Single,,"Todd McFarlane,  Greg Capullo","Spawn  #27(January, 1995)",1995
Plutona,Unknown,Plutona,,Secret,Good,,"unnamed daughter, unnamed father",Female,,,,Blonde,Single,,"Jeff Lemire,  Emi Lenox","Plutona  #1(September, 2015)",2015
Poyo,Poyo,,,Public,Neutral,U.S. Department of Agriculture,,Male,,,,Red,,,"John Layman,  Rob Guillory","Chew  #8(January, 2010)",2010
Voodoo,Priscilla Kitaen,Voodoo,,Secret,Good,WildC.A.T.s,The Ancestor (ancestor),Female,"5' 10""",130  lbs (59 kg),Brown,Black,Single,Daemonite-Kherubim-Human hybrid,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Sublime,Rachel Goldman,Sublime,,Secret,Good,International OperationsDV8Gen¹³,"Michael Cray, (Father) Susan Goldman (mother) David Rosenburg (stepfather)",Female,,,,Blond,,,"Jim Lee,  Brandon Choi,  J. Scott Campbell",Gen¹³ Vol 2 7  (1996),1996
Thermal,Rebecca Hailey,Thermal,,Public,Good,Brigade,,Female,"5' 7""",110  lbs (50 kg),,Blonde,Single,,,"Brigade  #1(August, 1992)",1992
Black,Reed Blackett,Black,,Secret,Good,formerly MI-10,"Alexander Blackett (father, deceased)",Male,,,,Brown,Single,,"Art Thibert,  Pamela Thibert",Extreme #0,
Warblade,Reno Bryce,Warblade,,Secret,Good,"WildC.A.T.s; formerly Cyberdata, S.H.O.C.s",,Male,"6' 3""",195  lbs (89 kg),Blue,Green,Single,Kherubim-Human hybrid,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Rex Splode,Rex Sloan,Rex Splode,Rex,Secret,Good,"Guardians of the Globe (formerly), Teen Team",Unnamed parents and siblings  Rudolph Conners (cloned body),Male,"5' 11""",215  lbs (98 kg),Brown,Brown,Single,,"Robert Kirkman,  Cory Walker","Invincible  #2(February, 2003)",2003
The Fury,Richard Judge,The Fury,Fireball; RoofRunner,Secret,,"Fighting Fury, L.A.S.E.R., Tomorrow Syndicate (formerly)",,Male,,,,Brown,Single,,"Alan Moore,  Steve Bissette","1963  #1(April, 1993)",1993
Ricochet,Rikki Shaefer,Ricochet,,Public,Good,"Special Operations Strikeforce, Freak Force","Barney Runningbear (husband), Sharona Runningbear (daughter, deceased)",Female,,90  lbs (41 kg),,Black,Married,mutate with the ability to rebound from surfaces.,Erik Larsen,"Savage Dragon  #1(June, 1993)",1993
Ripclaw,Robert Berresford,Ripclaw,"Robbie, Robert Barrington, Robert Bearclaw",Secret,Good,"Cyberforce; formerly Cyberdata, S.H.O.C.s","Michael Bearclaw (brother), Jenny Romano (ex-fiance)",Male,"6' 2""",235  lbs (107 kg),Brown(in human form); Red (as Ripclaw),Black,Dating,Mutant Cyborg,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
Kilgore,Robert DuVale,Kilgore,,Secret,Bad,The MERCs,,Male,,,,Blue,,Earth,"Jim Lee,  Brandon Choi","StormWatch  #1(March, 1993)",1993
Bobby Kellerman,Robert Kellerman,Bobby Kellerman,,Public,Bad,Sean Halloran,,Male,,,,,,,"Mark Andreyko,  Paul Lee","Case Files: Sam and Twitch  #7(March, 2004)",2004
Sideways Bob,Robert Thompson,Sideways Bob,,,,DV8,,Male,,,,Bald,,,"Warren Ellis,  Humberto Ramos","DV8  #1(September, 1996)",1996
Robot,"Rudolph ""Rex"" Conners",Robot,Rudy,Secret,Bad,"Teen Team (formerly), Guardians of the Globe (formerly)",,Male,"5' 11""",215  lbs (98 kg),Green,Red,Single,,"Robert Kirkman,  Cory Walker","Invincible  #2(February, 2003)",2003
Hatchet,Ryan Hatchett,Hatchet,,Secret,Bad,,"Mrs. Hatchett (mother),
Pete Hatchett (brother),

Jasmine Hatchett (sister)",Male,,,Blue,Blond,Single,,"Alan McElroy,  Dwayne Turner","Curse of the Spawn  #22(July, 1998)",1998
Task,Ryan Orsini,Task,,Public,Good,Bloodpool; formerly Youngblood,,Male,"5' 11""",185  lbs (84 kg),Brown,Black,Single,Genetically Enhanced Mutate,Rob Liefeld,"Youngblood  #8(September, 1994)",1994
Suprema,Sally Crane,Suprema,Supreme,Secret,Good,"Youngblood, Formerly Young Americans","Ethan Crane (adoptive brother); Joseph Crane (adoptive father, deceased); Joanne Crane (adoptive mother, deceased), Gorrl, the Living Galaxy (husband, estranged)",Female,,,Blue,White,Single,,"Alan Moore,  Rick Veitch","Supreme #41 (August, 1996)",1996
Samuel Burke,Samuel Burke,,,Secret,Good,New York City Police Department,"Eddie Burke (brother, deceased)",Male,,,Brown,Black,,,Todd McFarlane,"Spawn  #1(May, 1992)",1992
Sam Burke,Sam Burke,,,Secret,Good,New York City Police Department,,Male,,,Grey,Black,Single,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Atom Eve,Samantha Eve Wilkins,Atom Eve,"Eve, Samantha, Mrs. Wilkins",Secret,Good,"Teen Team (formerly), Invincible Inc. (formerly), Viltrum Empire",Elias Brandyworth (creator)Unnamed parents (deceased)Five unnamed half-siblings (deceased)Adam Wilkins (adoptive father)Betsy Wilkins (adoptive mother)Mark Grayson (husband)Terra Grayson (daughter)Markus Murphy (step-son),Female,"5' 8""",125  lbs (57 kg),Green,Auburn,Married,Human,"Robert Kirkman,  Cory Walker","Invincible  #2(February, 2003)",2003
Deadlock,Samuel Christopher Hicks,Deadlock,,Secret,Good,Bloodstrike,,Male,,,Blue,Black,Single,Nu-Gene activated by Project: Born Again,,"Bloodstrike  #26(March, 2012)",2012
Horridus,Sara Dexter (neé Hill),Horridus,Sara Hill [1],,Good,"Freak Force, Special Operations Strikeforce","George Hill (father, deceased); Meggan Hill (mother, deceased); Rex Dexter (husband, deceased); Dixie Dexter (daughter)",Female,,,,No Hair,Widowed,Alien hybrid obtained through artificial insemination,Erik Larsen,"Savage Dragon  #1(June, 1993)",1993
Sara Pezzini,Sara Pezzini,,,,Good,New York City Police Department,,Female,,,Brown,Brown,,,"Marc Silvestri,  Michael Turner,  David Wohl,  Brian Haberlin",Cyblade/Shi  #1,
Sara Pezzini,Sara Pezzini,,,Secret,Good,New York City Police Department,,Female,"5' 9""",123  lbs (56 kg),Blue,Brown,Single,,"Marc Silvestri,  Michael Turner,  David Wohl,  Brian Haberlin","Cyblade/Shi: The Battle for Independents  #1(August, 1995)",1995
Rainmaker,Sarah Rainmaker,Rainmaker,Tenkiyoho,Secret,Good,Gen¹³International Operations,"Rebecca Rainmaker (mother), Stephen Callahan (father), Rachel Callahan (stepmother, deceased), Matthew Callahan (half-brother), Nicole Callahan (half-sister), Billy Rainmaker (uncle, deceased), Michael Rainmaker (uncle), John Two-Raven (uncle)",Female,"5' 11""",135  lbs (61 kg),Brown,Black,Single,Born Gen-Active due to her father's altered genetics,"Jim Lee,  Brandon Choi,  J. Scott Campbell","StormWatch  #8(March, 1994)",1994
